"Treatment","Genus","Total_Abundance"
"exp","Glaciecola",57819
"exp","Alteromonas",54407
"exp","Shewanella",31650
"exp","Colwellia",29637
"exp","Clade Ia",28294
"exp","Pseudophaeobacter",26337
"exp","Synechococcus CC9902",22311
"exp","Marinomonas",17442
"exp","Oceaniserpentilla",14466
"exp","Acinetobacter",10946
"exp","Pseudoalteromonas",10559
"exp","Limosilactobacillus",9569
"exp","Vibrio",8372
"exp","Escherichia-Shigella",4837
"exp","Salmonella",4755
"exp","Prochlorococcus MIT9313",4100
"exp",NA,3357
"exp","Neptuniibacter",2641
"exp","Oleibacter",1892
